City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Hervey Bay,AU,83.03,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
4,George,ZA,74.1,few clouds,-33.963,22.4617,Protea Hotel by Marriott George King George
5,Bluff,NZ,72.81,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
10,Mataura,NZ,73.47,light rain,-46.1927,168.8643,Ellie's Villa
17,Namibe,AO,73.13,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
18,Butaritari,KI,81.55,broken clouds,3.0707,172.7902,Isles Sunset Lodge
26,Castro,BR,75.72,clear sky,-24.7911,-50.0119,CHACARA BAILLY
28,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
29,Makakilo City,US,79.12,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
30,Guiglo,CI,74.66,overcast clouds,6.5456,-7.4966,Hotel GBAOLY 2
31,Hilo,US,78.53,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
35,Magole,TZ,70.11,moderate rain,-6.3667,37.3667,Juma lubelwa
39,Catuday,PH,74.75,clear sky,16.2923,119.8062,Benjie's Kubo & Cottages
42,East London,ZA,75.81,overcast clouds,-33.0153,27.9116,Tu Casa
43,Hithadhoo,MV,82.45,clear sky,-0.6,73.0833,Scoop Guest House
45,Kupang,ID,79.21,clear sky,-10.1667,123.5833,Hotel On The Rock by Prasanthi
46,Sao Jose Da Coroa Grande,BR,80.58,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
47,Paracatu,BR,76.73,overcast clouds,-17.2222,-46.8747,Hotel Paracatu Plaza
51,Kapaa,US,78.12,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
52,Nelson Bay,AU,74.95,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
54,Bambous Virieux,MU,79.05,light intensity shower rain,-20.3428,57.7575,Casa Tia Villa
56,Jiwani,PK,73.08,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
57,Kruisfontein,ZA,74.88,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
58,Mitsamiouli,KM,81.75,overcast clouds,-11.3847,43.2844,Foyer ADM
59,Avarua,CK,82.45,few clouds,-21.2078,-159.775,Paradise Inn
63,Rikitea,PF,78.21,overcast clouds,-23.1203,-134.9692,People ThankYou
75,Mtwara,TZ,78.19,light rain,-10.2667,40.1833,TIL Hotels Mtwara
77,Palmas,BR,80.47,moderate rain,-10.2128,-48.3603,Hotel Lago da Palma
81,Saint-Philippe,RE,81.95,moderate rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
83,Buala,SB,82.17,light rain,-8.145,159.5921,Maringe Lagoon Lodge
84,Dwarka,IN,71.2,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
89,Sulangan,PH,79.61,overcast clouds,11.1373,123.7228,Maia's Beach Resort
91,Itapora,BR,81.07,overcast clouds,-22.0799,-54.7874,Hotel Santa Fé
99,Champerico,GT,85.77,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
100,Vaini,TO,84.36,few clouds,-21.2,-175.2,Keleti Beach Resort
102,Kudahuvadhoo,MV,82.71,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
103,Cidreira,BR,74.32,clear sky,-30.1811,-50.2056,Hotel Castelo
106,Faanui,PF,80.53,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
108,Mar Del Plata,AR,84.22,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
113,Namatanai,PG,78.64,light rain,-3.6667,152.4333,Seagulls Inn Namatani
119,Port Elizabeth,ZA,77.29,clear sky,-33.918,25.5701,39 On Nile Guest House
121,Bredasdorp,ZA,74.8,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
124,Ixtapa,MX,78.03,clear sky,20.7,-105.2,hotel la terminal
125,Omboue,GA,78.31,moderate rain,-1.5746,9.2618,Hotel Olako
126,Dingle,PH,73.27,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
131,Carnarvon,AU,73.47,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
134,Boffa,GN,74.19,few clouds,10.1667,-14.0333,Hôtel Niara Belly
136,Poum,NC,81.12,broken clouds,-20.2333,164.0167,Gîte kajeon
139,Sechura,PE,82.38,few clouds,-5.5569,-80.8222,Hospedaje Costa Bella
144,Tres Picos,MX,85.35,clear sky,15.8667,-93.5333,Tres picos Chiapas
145,Ambulu,ID,74.86,scattered clouds,-8.345,113.6058,Hotel Ambulu Jember
149,Itarema,BR,80.71,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
150,Port Alfred,ZA,77.23,overcast clouds,-33.5906,26.891,The Halyards Hotel
151,Cape Town,ZA,70.12,few clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
152,Nhulunbuy,AU,79.41,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
153,Manta,EC,76.78,overcast clouds,-0.95,-80.7333,Balandra Hotel
155,Manicore,BR,84.25,heavy intensity rain,-5.8092,-61.3003,Hotel Durval
157,Puerto Madryn,AR,80.65,clear sky,-42.7692,-65.0385,Hotel Tolosa
161,Aquidauana,BR,81.73,overcast clouds,-20.4711,-55.7872,HOTEL ARARAS
162,Roebourne,AU,83.43,overcast clouds,-20.7833,117.1333,Latitude20 Roebourne Village
165,Mbandaka,CD,78.35,broken clouds,0.0487,18.2603,Guest House Epervier
166,Atuona,PF,78.57,few clouds,-9.8,-139.0333,Villa Enata
170,Cabo San Lucas,MX,76.6,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
174,Urucara,BR,80.22,broken clouds,-2.5364,-57.76,Pousada Maria Bonita
178,Sao Filipe,CV,74.73,broken clouds,14.8961,-24.4956,Hotel Xaguate
181,Atar,MR,77.92,broken clouds,20.5169,-13.0499,Oumou Elghoura
182,Hopelchen,MX,87.08,clear sky,19.7667,-89.85,Hotel Jaguar
183,Kinablangan,PH,76.71,overcast clouds,7.6947,126.5503,Morales Eatery and Lodging House
184,Kerema,PG,77.56,moderate rain,-7.9631,145.7785,Frena Lodge
190,Bengkulu,ID,73.81,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
