City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hermanus,ZA,-34.4187,19.2345,69.91,84,24,2.26,few clouds
1,Schladming,AT,47.3929,13.687,35.53,99,99,5.14,light snow
2,Hervey Bay,AU,-25.2986,152.8535,83.03,78,100,12.5,overcast clouds
3,Kodiak,US,57.79,-152.4072,38.71,100,100,9.22,mist
4,George,ZA,-33.963,22.4617,74.1,76,15,1.66,few clouds
5,Bluff,NZ,-46.6,168.3333,72.81,71,100,13.18,overcast clouds
6,Margate,GB,51.3813,1.3862,52.03,74,98,5.01,overcast clouds
7,Hobart,AU,-42.8794,147.3294,55.26,57,20,1.99,few clouds
8,New Norfolk,AU,-42.7826,147.0587,54.9,57,8,1.01,clear sky
9,Ostrovnoy,RU,68.0531,39.5131,17.56,92,100,7.38,overcast clouds
10,Mataura,NZ,-46.1927,168.8643,73.47,66,100,6.82,light rain
11,Saskylakh,RU,71.9167,114.0833,-28.08,100,51,1.39,broken clouds
12,Caluquembe,AO,-13.7833,14.6833,60.1,57,100,5.77,overcast clouds
13,Tuktoyaktuk,CA,69.4541,-133.0374,-23.8,76,20,5.75,few clouds
14,Komsomolskoye,RU,55.2567,47.5461,28.13,93,100,14.99,overcast clouds
15,Escanaba,US,45.7453,-87.0646,39.16,60,75,20.71,broken clouds
16,Staraya Mayna,RU,54.6,48.95,30.31,89,100,14.65,light snow
17,Namibe,AO,-15.1961,12.1522,73.13,70,24,11.59,few clouds
18,Butaritari,KI,3.0707,172.7902,81.55,76,55,10.45,broken clouds
19,Ushuaia,AR,-54.8,-68.3,42.46,87,75,43.73,moderate rain
20,Roma,US,43.2128,-75.4557,37.04,48,0,11.5,clear sky
21,Peniche,PT,39.3558,-9.3811,55.96,65,0,4.21,clear sky
22,Ilulissat,GL,69.2167,-51.1,1.42,51,75,3.44,broken clouds
23,Barrow,US,71.2906,-156.7887,-16.58,69,40,5.75,scattered clouds
24,Codrington,AU,-38.2667,141.9667,57.72,53,54,12.62,broken clouds
25,Provideniya,RU,64.3833,-173.3,14.11,57,20,26.84,few clouds
26,Castro,BR,-24.7911,-50.0119,75.72,72,4,4.79,clear sky
27,Busselton,AU,-33.65,115.3333,61.05,67,21,18.28,few clouds
28,Georgetown,MY,5.4112,100.3354,82.33,86,20,2.3,few clouds
29,Makakilo City,US,21.3469,-158.0858,79.12,54,0,11.5,clear sky
