City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Gao,ML,2022-01-28 21:53:22,16.6362,1.637,67.14,16,0,12.37
1,Jamestown,US,2022-01-28 21:51:08,42.097,-79.2353,19.09,59,100,5.01
2,Buin,CL,2022-01-28 21:50:37,-33.7333,-70.75,83.05,41,0,11.39
3,Ushuaia,AR,2022-01-28 21:49:56,-54.8,-68.3,64.06,52,40,4.61
4,Taltal,CL,2022-01-28 21:53:23,-25.4,-70.4833,68.32,73,31,7.11
5,Sioux Lookout,CA,2022-01-28 21:53:24,50.1001,-91.917,7.18,60,20,4.61
6,Saint-Philippe,RE,2022-01-28 21:53:24,-21.3585,55.7679,74.79,74,10,5.44
7,San Ramon,US,2022-01-28 21:49:39,37.7799,-121.978,66.92,49,0,1.01
8,Bonthe,SL,2022-01-28 21:52:29,7.5264,-12.505,79.16,82,78,5.99
9,Thompson,CA,2022-01-28 21:51:05,55.7435,-97.8558,-5.64,65,100,5.75
10,Busselton,AU,2022-01-28 21:51:12,-33.65,115.3333,65.05,64,11,7.7
11,Yellowknife,CA,2022-01-28 21:52:11,62.456,-114.3525,1.42,91,100,9.22
12,Talnakh,RU,2022-01-28 21:52:49,69.4865,88.3972,1.2,93,100,12.21
13,Longyearbyen,SJ,2022-01-28 21:53:26,78.2186,15.6401,4.84,78,20,16.11
14,Ler,SS,2022-01-28 21:53:26,8.3018,30.1418,76.17,23,0,8.43
15,Torbay,CA,2022-01-28 21:53:27,47.6666,-52.7314,26.58,86,100,9.22
16,Mehamn,NO,2022-01-28 21:53:27,71.0357,27.8492,31.91,63,100,4.41
17,Kapaa,US,2022-01-28 21:51:18,22.0752,-159.319,79.12,64,0,1.01
18,Nantucket,US,2022-01-28 21:53:28,41.2835,-70.0995,35.01,78,100,4.05
19,Broken Hill,AU,2022-01-28 21:51:04,-31.95,141.4333,67.71,83,40,14.97
20,Atuona,PF,2022-01-28 21:53:29,-9.8,-139.0333,77.79,71,11,15.17
21,Hiriyur,IN,2022-01-28 21:53:29,13.9456,76.6192,65.79,76,83,5.82
22,Carutapera,BR,2022-01-28 21:53:30,-1.195,-46.02,74.68,94,100,9.75
23,Provideniya,RU,2022-01-28 21:53:30,64.3833,-173.3,-1.21,98,18,3.27
24,Pevek,RU,2022-01-28 21:53:23,69.7008,170.3133,-17.16,100,36,2.59
25,Huarmey,PE,2022-01-28 21:53:31,-10.0681,-78.1522,72.19,79,100,8.95
26,Airai,TL,2022-01-28 21:53:31,-8.9266,125.4092,60.42,92,100,2.82
27,Guerrero Negro,MX,2022-01-28 21:53:32,27.9769,-114.0611,72.64,24,31,2.71
28,Sorong,ID,2022-01-28 21:53:33,-0.8833,131.25,80.83,81,100,11.48
29,Arraial Do Cabo,BR,2022-01-28 21:51:15,-22.9661,-42.0278,80.56,83,75,6.91
30,That Phanom,TH,2022-01-28 21:53:33,16.9364,104.7104,73.4,75,6,4.85
31,Bredasdorp,ZA,2022-01-28 21:53:34,-34.5322,20.0403,62.28,77,64,6.91
32,Butaritari,KI,2022-01-28 21:50:49,3.0707,172.7902,81.93,79,64,17.74
33,Goma,CD,2022-01-28 21:53:35,-1.6792,29.2228,65.14,78,100,3.24
34,Saskylakh,RU,2022-01-28 21:53:35,71.9167,114.0833,-0.04,90,100,6.08
35,Hilo,US,2022-01-28 21:53:35,19.7297,-155.09,81.25,79,21,7.0
36,Punta Arenas,CL,2022-01-28 21:53:36,-53.15,-70.9167,62.71,55,0,5.75
37,Anchorage,US,2022-01-28 21:49:37,61.2181,-149.9003,30.31,86,100,1.99
38,Nigde,TR,2022-01-28 21:53:37,37.8333,34.75,8.02,81,7,4.21
39,Cidreira,BR,2022-01-28 21:53:37,-30.1811,-50.2056,71.91,63,70,12.44
40,Georgetown,MY,2022-01-28 21:49:59,5.4112,100.3354,81.9,92,20,1.99
41,Bhanpuri,IN,2022-01-28 21:53:38,21.1,80.9167,54.01,43,2,4.36
42,Lompoc,US,2022-01-28 21:51:35,34.6391,-120.4579,74.7,20,0,3.44
43,Ushtobe,KZ,2022-01-28 21:53:39,45.2514,77.9838,11.86,80,22,7.11
44,Puerto Ayora,EC,2022-01-28 21:51:19,-0.7393,-90.3518,80.56,76,66,9.66
45,Souillac,MU,2022-01-28 21:54:40,-20.5167,57.5167,79.18,89,40,2.3
46,New Norfolk,AU,2022-01-28 21:50:45,-42.7826,147.0587,64.92,64,97,3.0
47,Dawlatabad,AF,2022-01-28 21:54:40,36.4141,64.9053,42.93,90,100,7.38
48,Tuktoyaktuk,CA,2022-01-28 21:54:41,69.4541,-133.0374,-18.4,69,20,14.97
49,Mayumba,GA,2022-01-28 21:54:42,-3.432,10.6554,76.46,89,65,2.04
50,Khatanga,RU,2022-01-28 21:54:42,71.9667,102.5,-1.62,87,100,5.01
51,Ilulissat,GL,2022-01-28 21:52:03,69.2167,-51.1,16.47,62,100,10.76
52,Akyab,MM,2022-01-28 21:54:43,20.15,92.9,60.12,63,97,13.04
53,Manali,IN,2022-01-28 21:54:43,13.1667,80.2667,78.89,81,99,10.83
54,Roald,NO,2022-01-28 21:54:44,62.5833,6.1333,44.65,81,75,24.16
55,Boromo,BF,2022-01-28 21:54:44,11.75,-2.9333,78.39,16,6,7.0
56,Chhapar,IN,2022-01-28 21:54:45,27.8167,74.4,56.19,26,0,4.32
57,Mareeba,AU,2022-01-28 21:54:46,-17.0,145.4333,72.45,97,100,2.51
58,Svetlyy,RU,2022-01-28 21:54:46,54.675,20.1347,37.45,70,13,16.53
59,Mount Gambier,AU,2022-01-28 21:51:03,-37.8333,140.7667,62.51,94,100,12.66
60,Somerset East,ZA,2022-01-28 21:54:47,-32.7217,25.588,59.95,83,96,7.11
61,Chokurdakh,RU,2022-01-28 21:50:07,70.6333,147.9167,-31.41,96,95,2.59
62,Ellensburg,US,2022-01-28 21:50:02,46.9965,-120.5479,29.25,88,100,1.99
63,Port Alfred,ZA,2022-01-28 21:51:00,-33.5906,26.891,66.87,78,14,9.51
64,Puerto Escondido,MX,2022-01-28 21:49:53,15.85,-97.0667,83.23,65,20,6.91
65,Hermanus,ZA,2022-01-28 21:54:48,-34.4187,19.2345,62.8,76,0,11.07
66,Qaanaaq,GL,2022-01-28 21:50:08,77.484,-69.3632,-12.82,61,5,8.46
67,Hithadhoo,MV,2022-01-28 21:49:57,-0.6,73.0833,80.31,63,50,5.99
68,Stornoway,GB,2022-01-28 21:54:49,58.2093,-6.3865,51.93,94,100,11.99
69,Pangnirtung,CA,2022-01-28 21:54:49,66.1451,-65.7125,-11.2,77,100,2.3
70,Great Yarmouth,GB,2022-01-28 21:54:50,52.6083,1.7305,48.94,93,98,16.35
71,Hofn,IS,2022-01-28 21:54:50,64.2539,-15.2082,31.8,53,52,14.03
72,Vuktyl,RU,2022-01-28 21:52:22,63.8567,57.3094,4.42,93,100,8.68
73,Jiayuguan,CN,2022-01-28 21:54:51,39.8167,98.3,17.46,39,0,2.62
74,Paamiut,GL,2022-01-28 21:50:00,61.994,-49.6678,23.59,87,100,25.1
75,Tasiilaq,GL,2022-01-28 21:54:52,65.6145,-37.6368,6.19,69,59,6.73
76,Nsanje,MW,2022-01-28 21:54:02,-16.92,35.262,72.88,97,17,1.88
77,Kavieng,PG,2022-01-28 21:53:29,-2.5744,150.7967,82.58,75,99,5.88
78,Narsaq,GL,2022-01-28 21:54:52,60.9167,-46.05,14.85,95,100,7.52
79,Areosa,PT,2022-01-28 21:54:53,41.7178,-8.8571,54.66,57,0,6.89
80,Lata,PT,2022-01-28 21:52:10,40.1629,-8.3327,51.06,61,0,4.54
81,Sorland,NO,2022-01-28 21:54:54,67.667,12.6934,23.07,65,100,21.0
82,Plettenberg Bay,ZA,2022-01-28 21:54:54,-34.0527,23.3716,63.3,79,35,2.53
83,Bluff,NZ,2022-01-28 21:50:10,-46.6,168.3333,65.8,69,92,6.13
84,Upernavik,GL,2022-01-28 21:54:55,72.7868,-56.1549,2.44,64,100,8.95
85,Preobrazheniye,RU,2022-01-28 21:54:56,42.9019,133.9064,11.08,64,24,12.1
86,Nome,US,2022-01-28 21:53:51,64.5011,-165.4064,-11.83,72,0,5.95
87,Uruzgan,AF,2022-01-28 21:54:56,32.8333,66.0,35.69,54,23,7.61
88,Hobart,AU,2022-01-28 21:51:18,-42.8794,147.3294,65.26,78,40,16.11
89,Vaini,TO,2022-01-28 21:50:08,-21.2,-175.2,82.38,79,98,19.19
90,El Naranjo,MX,2022-01-28 21:55:57,21.4667,-98.6,60.93,83,100,14.61
91,Maraa,BR,2022-01-28 21:55:58,-1.8333,-65.3667,77.34,96,100,2.24
92,Rikitea,PF,2022-01-28 21:54:59,-23.1203,-134.9692,78.06,70,100,15.64
93,Hirara,JP,2022-01-28 21:55:59,24.8,125.2833,68.27,94,75,3.44
94,Riyadh,SA,2022-01-28 21:53:40,24.6877,46.7219,51.94,34,2,7.09
95,Port Elizabeth,ZA,2022-01-28 21:55:59,-33.918,25.5701,64.69,82,75,12.66
96,Rey Bouba,CM,2022-01-28 21:56:00,8.6724,14.1786,72.63,21,73,1.16
97,Faanui,PF,2022-01-28 21:51:08,-16.4833,-151.75,81.45,74,11,16.2
98,Ziro,IN,2022-01-28 21:56:00,27.6333,93.8333,27.66,91,1,2.77
99,Avarua,CK,2022-01-28 21:56:01,-21.2078,-159.775,82.45,74,20,12.66
100,Bethel,US,2022-01-28 21:56:01,41.3712,-73.414,31.84,84,100,2.93
101,Itupiranga,BR,2022-01-28 21:56:02,-5.1347,-49.3267,80.92,97,91,2.98
102,Altay,CN,2022-01-28 21:56:02,47.8667,88.1167,0.1,52,9,8.52
103,Broome,US,2022-01-28 21:56:03,42.2506,-75.833,20.8,78,100,5.01
104,Dennery,LC,2022-01-28 21:56:03,13.8996,-60.8879,77.09,99,75,3.44
105,Rawson,AR,2022-01-28 21:56:04,-43.3002,-65.1023,72.27,66,12,18.9
106,Ismailia,EG,2022-01-28 21:56:04,30.6043,32.2723,49.3,69,13,6.87
107,Byron Bay,AU,2022-01-28 21:51:39,-28.65,153.6167,78.06,83,68,5.86
108,Mundo Nuevo,MX,2022-01-28 21:56:05,18.7,-95.5,72.81,86,93,22.08
109,Saint George,US,2022-01-28 21:51:13,37.1041,-113.5841,61.27,16,0,3.0
110,Pathein,MM,2022-01-28 21:56:05,16.7833,94.7333,71.46,64,64,10.76
111,Markova,UA,2022-01-28 21:56:06,48.6758,24.4138,26.96,92,89,11.54
112,Ostrovnoy,RU,2022-01-28 21:53:37,68.0531,39.5131,10.56,94,88,9.53
113,Mataura,NZ,2022-01-28 21:56:07,-46.1927,168.8643,65.48,45,96,3.96
114,Nikolskoye,RU,2022-01-28 21:56:07,59.7035,30.7861,24.8,96,100,6.31
115,Slave Lake,CA,2022-01-28 21:56:08,55.2834,-114.769,42.78,39,20,32.21
116,Carnarvon,AU,2022-01-28 21:56:09,-24.8667,113.6333,69.87,88,0,5.75
117,Vaitape,PF,2022-01-28 21:52:47,-16.5167,-151.75,81.43,74,10,16.22
118,Beloha,MG,2022-01-28 21:56:09,-25.1667,45.05,70.14,92,0,8.16
119,Tigil,RU,2022-01-28 21:56:10,57.8,158.6667,31.86,76,100,15.64
120,Caravelas,BR,2022-01-28 21:56:10,-17.7125,-39.2481,78.13,79,5,8.5
121,Lujiang,CN,2022-01-28 21:56:10,31.2581,117.2817,33.85,98,100,5.39
122,Albany,US,2022-01-28 21:54:52,42.6001,-73.9662,28.94,85,100,6.44
123,Chumikan,RU,2022-01-28 21:54:45,54.7183,135.315,-15.88,91,14,13.96
124,Aswan,EG,2022-01-28 21:56:11,24.0934,32.907,51.1,40,0,8.05
125,Kaitangata,NZ,2022-01-28 21:56:12,-46.2817,169.8464,64.92,68,91,0.78
